,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
88,2017-11-12T00:00:00.0000000Z,2017-11-13T00:00:00.0000000Z,2017-11-12T00:00:04.0000000Z,2017-11-12T23:59:58.0000000Z,6355.13,6488.88,5555.55,5870.37,37315.156639768,49976
89,2017-11-13T00:00:00.0000000Z,2017-11-14T00:00:00.0000000Z,2017-11-13T00:00:00.0000000Z,2017-11-13T23:59:59.0000000Z,5870.03,6775.75,5846.0,6525.17,27201.042108316,50318
90,2017-11-14T00:00:00.0000000Z,2017-11-15T00:00:00.0000000Z,2017-11-14T00:00:00.0000000Z,2017-11-14T23:59:58.0000000Z,6524.69,6750.0,6466.88,6609.0,12072.053088023998,27833
91,2017-11-15T00:00:00.0000000Z,2017-11-16T00:00:00.0000000Z,2017-11-15T00:00:01.0000000Z,2017-11-15T23:59:56.0000000Z,6609.0,7350.0,6609.0,7294.0,16869.89791294,31275
92,2017-11-16T00:00:00.0000000Z,2017-11-17T00:00:00.0000000Z,2017-11-16T00:00:04.0000000Z,2017-11-16T23:59:57.0000000Z,7294.0,7976.79,7120.85,7846.96,19272.371476638,39873
93,2017-11-17T00:00:00.0000000Z,2017-11-18T00:00:00.0000000Z,2017-11-17T00:00:00.0000000Z,2017-11-17T23:59:27.0000000Z,7846.96,7997.0,7528.5,7674.99,17524.666293127,42538
94,2017-11-18T00:00:00.0000000Z,2017-11-19T00:00:00.0000000Z,2017-11-18T00:00:00.0000000Z,2017-11-18T23:59:56.0000000Z,7675.0,7858.0,7431.54,7771.03,7310.497697678001,25584
95,2017-11-19T00:00:00.0000000Z,2017-11-20T00:00:00.0000000Z,2017-11-19T00:00:01.0000000Z,2017-11-19T23:59:41.0000000Z,7775.55,8087.35,7675.0,8016.58,8307.777508557,24750
96,2017-11-20T00:00:00.0000000Z,2017-11-21T00:00:00.0000000Z,2017-11-20T00:00:00.0000000Z,2017-11-20T23:59:56.0000000Z,8016.58,8269.99,7900.0,8226.17,8179.4577272530005,25458
97,2017-11-21T00:00:00.0000000Z,2017-11-22T00:00:00.0000000Z,2017-11-21T00:00:03.0000000Z,2017-11-21T23:59:54.0000000Z,8226.14,8354.46,7770.0,8095.23,13686.511238682,39961
98,2017-11-22T00:00:00.0000000Z,2017-11-23T00:00:00.0000000Z,2017-11-22T00:00:00.0000000Z,2017-11-22T23:59:57.0000000Z,8095.19,8310.89,8045.76,8214.69,8078.58080135,28150
99,2017-11-23T00:00:00.0000000Z,2017-11-24T00:00:00.0000000Z,2017-11-23T00:00:00.0000000Z,2017-11-23T23:59:59.0000000Z,8214.69,8279.76,7980.0,7989.0,7811.79339995,25336
100,2017-11-24T00:00:00.0000000Z,2017-11-25T00:00:00.0000000Z,2017-11-24T00:00:00.0000000Z,2017-11-24T23:58:50.0000000Z,7988.96,8340.0,7876.0,8199.19,9289.989257006,35178
101,2017-11-25T00:00:00.0000000Z,2017-11-26T00:00:00.0000000Z,2017-11-25T00:00:03.0000000Z,2017-11-25T23:59:59.0000000Z,8199.83,8737.0,8114.78,8717.99,11611.666378857,28557
102,2017-11-26T00:00:00.0000000Z,2017-11-27T00:00:00.0000000Z,2017-11-26T00:00:02.0000000Z,2017-11-26T23:59:46.0000000Z,8718.0,9366.6,8538.2,9271.06,11864.841602028,35226
103,2017-11-27T00:00:00.0000000Z,2017-11-28T00:00:00.0000000Z,2017-11-27T00:00:14.0000000Z,2017-11-27T23:59:57.0000000Z,9278.99,9721.7,9267.0,9708.07,13272.452540095,49513
104,2017-11-28T00:00:00.0000000Z,2017-11-29T00:00:00.0000000Z,2017-11-28T00:00:02.0000000Z,2017-11-28T23:59:48.0000000Z,9708.06,9968.0,9582.25,9868.82,11214.92993112,45752
105,2017-11-29T00:00:00.0000000Z,2017-11-30T00:00:00.0000000Z,2017-11-29T00:00:00.0000000Z,2017-11-29T23:59:58.0000000Z,9877.63,11395.0,9250.0,9824.68,33184.500740172996,96239
106,2017-11-30T00:00:00.0000000Z,2017-12-01T00:00:00.0000000Z,2017-11-30T00:00:00.0000000Z,2017-11-30T23:59:55.0000000Z,9833.7,10618.29,9000.0,9947.67,25433.398359301,80092
107,2017-12-01T00:00:00.0000000Z,2017-12-02T00:00:00.0000000Z,2017-12-01T00:00:00.0000000Z,2017-12-01T23:59:57.0000000Z,9935.0,10949.89,9370.11,10840.45,16708.032248436,57337
108,2017-12-02T00:00:00.0000000Z,2017-12-03T00:00:00.0000000Z,2017-12-02T00:00:00.0000000Z,2017-12-02T23:59:55.0000000Z,10840.45,11200.0,10637.69,10872.0,9265.942054665,40618
109,2017-12-03T00:00:00.0000000Z,2017-12-04T00:00:00.0000000Z,2017-12-03T00:00:00.0000000Z,2017-12-03T23:59:54.0000000Z,10875.68,11800.01,10513.16,11250.0,14238.525876968999,56115
110,2017-12-04T00:00:00.0000000Z,2017-12-05T00:00:00.0000000Z,2017-12-04T00:00:04.0000000Z,2017-12-04T23:59:58.0000000Z,11250.0,11613.07,10850.0,11613.07,13621.481972783999,55782
111,2017-12-05T00:00:00.0000000Z,2017-12-06T00:00:00.0000000Z,2017-12-05T00:00:00.0000000Z,2017-12-05T23:59:56.0000000Z,11613.07,11850.0,11384.25,11677.0,11824.026678606,50649
112,2017-12-06T00:00:00.0000000Z,2017-12-07T00:00:00.0000000Z,2017-12-06T00:00:01.0000000Z,2017-12-06T23:59:59.0000000Z,11676.99,13700.0,11659.8,13623.5,19784.873487086003,78463
113,2017-12-07T00:00:00.0000000Z,2017-12-08T00:00:00.0000000Z,2017-12-07T00:00:02.0000000Z,2017-12-07T23:59:59.0000000Z,13623.0,16615.62,13085.9,16599.99,25719.995030766,114333
114,2017-12-08T00:00:00.0000000Z,2017-12-09T00:00:00.0000000Z,2017-12-08T00:00:00.0000000Z,2017-12-08T23:59:59.0000000Z,16599.99,16666.66,13482.42,15800.0,25270.341339612,111014
115,2017-12-09T00:00:00.0000000Z,2017-12-10T00:00:00.0000000Z,2017-12-09T00:00:00.0000000Z,2017-12-09T23:59:59.0000000Z,15799.87,15998.5,12701.05,14607.49,16587.391358595,79043
116,2017-12-10T00:00:00.0000000Z,2017-12-11T00:00:00.0000000Z,2017-12-10T00:00:03.0000000Z,2017-12-10T23:59:58.0000000Z,14601.01,15385.0,13011.0,14691.0,18473.601936535,78376
117,2017-12-11T00:00:00.0000000Z,2017-12-12T00:00:00.0000000Z,2017-12-11T00:00:03.0000000Z,2017-12-11T23:59:59.0000000Z,14690.99,17270.0,14677.19,16470.0,16593.407638175,77565
118,2017-12-12T00:00:00.0000000Z,2017-12-13T00:00:00.0000000Z,2017-12-12T00:00:00.0000000Z,2017-12-12T23:59:59.0000000Z,16470.0,17428.42,15967.29,16650.01,13519.379361591002,93083
119,2017-12-13T00:00:00.0000000Z,2017-12-14T00:00:00.0000000Z,2017-12-13T00:00:00.0000000Z,2017-12-13T23:59:57.0000000Z,16650.01,17107.03,15497.69,16250.0,17153.242902022,97050
120,2017-12-14T00:00:00.0000000Z,2017-12-15T00:00:00.0000000Z,2017-12-14T00:00:00.0000000Z,2017-12-14T23:59:59.0000000Z,16245.02,16830.45,15852.69,16404.99,13412.99612969,93422
121,2017-12-15T00:00:00.0000000Z,2017-12-16T00:00:00.0000000Z,2017-12-15T00:00:02.0000000Z,2017-12-15T23:59:59.0000000Z,16404.99,17934.0,16337.19,17471.5,19041.494170211998,91631
122,2017-12-16T00:00:00.0000000Z,2017-12-17T00:00:00.0000000Z,2017-12-16T00:00:00.0000000Z,2017-12-16T23:59:57.0000000Z,17477.98,19377.0,17269.99,19187.78,9761.412552621,79105
123,2017-12-17T00:00:00.0000000Z,2017-12-18T00:00:00.0000000Z,2017-12-17T00:00:00.0000000Z,2017-12-17T23:59:55.0000000Z,19187.78,19666.0,18465.0,18953.0,9749.303065124,74305
124,2017-12-18T00:00:00.0000000Z,2017-12-19T00:00:00.0000000Z,2017-12-18T00:00:01.0000000Z,2017-12-18T23:59:55.0000000Z,18953.0,19220.0,17835.2,18940.57,14679.222573758001,71249
125,2017-12-19T00:00:00.0000000Z,2017-12-20T00:00:00.0000000Z,2017-12-19T00:00:01.0000000Z,2017-12-19T23:59:59.0000000Z,18940.58,19160.79,16831.26,17700.0,21543.620503562,86781
126,2017-12-20T00:00:00.0000000Z,2017-12-21T00:00:00.0000000Z,2017-12-20T00:00:00.0000000Z,2017-12-20T23:59:57.0000000Z,17700.0,17950.0,15343.04,16466.98,31176.82345153,104971
127,2017-12-21T00:00:00.0000000Z,2017-12-22T00:00:00.0000000Z,2017-12-21T00:00:00.0000000Z,2017-12-21T23:59:59.0000000Z,16466.98,17281.17,15005.0,15600.01,20428.866951941,93837
128,2017-12-22T00:00:00.0000000Z,2017-12-23T00:00:00.0000000Z,2017-12-22T00:00:00.0000000Z,2017-12-22T23:59:59.0000000Z,15600.0,15795.61,11159.93,14009.79,57468.012480334,181616
129,2017-12-23T00:00:00.0000000Z,2017-12-24T00:00:00.0000000Z,2017-12-23T00:00:00.0000000Z,2017-12-23T23:59:56.0000000Z,13980.0,15756.22,13496.48,14619.0,21786.947536268002,95865
130,2017-12-24T00:00:00.0000000Z,2017-12-25T00:00:00.0000000Z,2017-12-24T00:00:03.0000000Z,2017-12-24T23:59:56.0000000Z,14619.0,14619.1,12488.0,14157.87,18519.672939226002,63641
131,2017-12-25T00:00:00.0000000Z,2017-12-26T00:00:00.0000000Z,2017-12-25T00:00:00.0000000Z,2017-12-25T23:59:56.0000000Z,14107.87,14650.0,13210.0,13911.28,11564.544333063,39384
132,2017-12-26T00:00:00.0000000Z,2017-12-27T00:00:00.0000000Z,2017-12-26T00:00:03.0000000Z,2017-12-26T23:59:59.0000000Z,13925.5,16147.87,13746.95,15764.44,15056.207023805,63473
133,2017-12-27T00:00:00.0000000Z,2017-12-28T00:00:00.0000000Z,2017-12-27T00:00:03.0000000Z,2017-12-27T23:59:38.0000000Z,15764.45,16480.52,14484.0,15364.93,15651.235237076002,83062
134,2017-12-28T00:00:00.0000000Z,2017-12-29T00:00:00.0000000Z,2017-12-28T00:00:03.0000000Z,2017-12-28T23:59:59.0000000Z,15390.05,15474.19,13500.0,14470.07,16604.621526502,67295
135,2017-12-29T00:00:00.0000000Z,2017-12-30T00:00:00.0000000Z,2017-12-29T00:00:00.0000000Z,2017-12-29T23:59:59.0000000Z,14436.99,15111.0,13998.0,14340.0,13519.73613004,70990
136,2017-12-30T00:00:00.0000000Z,2017-12-31T00:00:00.0000000Z,2017-12-30T00:00:00.0000000Z,2017-12-30T23:59:59.0000000Z,14351.0,14463.28,12050.0,12640.0,21759.226485002,106522
137,2017-12-31T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,2017-12-31T00:00:00.0000000Z,2017-12-31T23:59:59.0000000Z,12640.0,14296.06,12491.21,13880.0,11583.418646941001,52749
138,2018-01-01T00:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,2018-01-01T00:00:03.0000000Z,2018-01-01T23:59:54.0000000Z,13880.0,13941.75,12801.38,13443.41,7688.475017236,35486
139,2018-01-02T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,2018-01-02T00:00:01.0000000Z,2018-01-02T23:59:59.0000000Z,13394.2,15257.53,12910.58,14678.94,16311.92133417,66050
140,2018-01-03T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,2018-01-03T23:59:59.0000000Z,14670.96,15500.0,14546.28,15155.62,12275.001196632,64073
